Unique_Id,Fuel_Type,Horsepower,Engine_Size_CC,Num_Cylinders,Num_Gears,Car_Weight
1,Diesel,90,2000,4,5,1165
2,Diesel,90,2000,4,5,1165
3,Diesel,90,2000,4,5,1165
4,Diesel,90,2000,4,5,1165
5,Diesel,90,2000,4,5,1170
6,Diesel,90,2000,4,5,1170
7,Diesel,90,2000,4,5,1245
8,Diesel,90,2000,4,5,1245
9,Petrol,192,1800,4,5,1185
10,Diesel,69,1900,4,5,1105
11,Petrol,192,1800,4,6,1185
12,Petrol,192,1800,4,6,1185
13,Petrol,192,1800,4,6,1185
14,Petrol,192,1800,4,6,1185
15,Petrol,192,1800,4,6,1185
16,Petrol,192,1800,4,6,1185
17,Petrol,192,1800,4,5,1185
18,Petrol,110,1600,4,5,1105
19,Petrol,110,1600,4,5,1065
20,Petrol,110,1600,4,5,1105
21,Petrol,110,1600,4,5,1105
22,Petrol,110,1600,4,5,1170
23,Petrol,110,1600,4,5,1120
24,Petrol,110,1600,4,5,1120
25,Petrol,110,1600,4,5,1120
26,Petrol,110,1600,4,5,1120
27,Petrol,110,1600,4,5,1120
28,Petrol,110,1600,4,5,1120
29,Petrol,110,1600,4,5,1120
30,Petrol,110,1600,4,5,1120
31,Petrol,97,1400,4,5,1100
32,Petrol,97,1400,4,5,1100
33,Petrol,97,1400,4,5,1100
34,Petrol,97,1400,4,5,1100
35,Petrol,97,1400,4,5,1100
36,Petrol,97,1400,4,5,1100
37,Petrol,97,1400,4,5,1100
38,Petrol,97,1400,4,5,1100
39,Petrol,97,1400,4,5,1100
40,Petrol,97,1400,4,5,1100
41,Petrol,97,1400,4,5,1100
42,Petrol,97,1400,4,5,1100
43,Petrol,97,1400,4,5,1100
44,Diesel,90,2000,4,5,1255
45,Diesel,90,2000,4,5,1255
46,Diesel,90,2000,4,5,1270
47,Diesel,90,2000,4,5,1255
48,Petrol,97,1400,4,5,1110
49,Diesel,90,2000,4,5,1255
50,Petrol,192,1800,4,6,1195
51,Diesel,90,2000,4,5,1255
52,Petrol,97,1400,4,5,1110
53,Petrol,110,1600,4,5,1180
54,Petrol,192,1800,4,5,1195
55,Petrol,110,1600,4,5,1165
56,Petrol,110,1600,4,5,1075
57,Petrol,97,1400,4,5,1110
58,Petrol,97,1400,4,5,1110
59,Petrol,110,1600,4,5,1180
60,Petrol,110,1600,4,5,1130
61,Petrol,97,1400,4,5,1110
62,Petrol,110,1600,4,5,1130
63,Petrol,110,1600,4,5,1130
64,Petrol,110,1600,4,5,1130
65,Petrol,97,1400,4,5,1110
66,Petrol,110,1600,4,5,1075
67,Petrol,110,1600,4,5,1130
68,Petrol,97,1400,4,5,1110
69,Diesel,110,2000,4,5,1275
70,Petrol,97,1400,4,5,1110
71,Petrol,97,1400,4,5,1110
72,Petrol,97,1400,4,5,1060
73,Petrol,110,1598,4,5,1130
74,Petrol,97,1400,4,5,1110
75,Petrol,110,1600,4,5,1130
76,Petrol,110,1600,4,5,1115
77,Petrol,110,1600,4,5,1130
78,Petrol,110,1600,4,5,1115
79,Petrol,110,1600,4,5,1115
80,Petrol,97,1400,4,5,1110
81,Petrol,110,16000,4,5,1180
82,Petrol,110,1600,4,5,1115
83,Petrol,97,1400,4,5,1110
84,Petrol,110,1600,4,5,1180
85,Petrol,97,1400,4,5,1110
86,Petrol,110,1600,4,5,1130
87,Petrol,97,1400,4,5,1100
88,Diesel,90,2000,4,5,1245
89,Petrol,97,1400,4,5,1100
90,Diesel,110,2000,4,5,1265
91,Petrol,97,1400,4,5,1100
92,Diesel,90,2000,4,5,1260
93,Diesel,90,1995,4,5,1260
94,Petrol,97,1400,4,5,1100
95,Petrol,110,1600,4,5,1120
96,Diesel,90,1995,4,5,1260
97,Petrol,97,1400,4,5,1100
98,Petrol,97,1400,4,5,1100
99,Petrol,110,1600,4,5,1120
100,Petrol,97,1400,4,5,1100
101,Petrol,110,1600,4,5,1120
102,Petrol,97,1400,4,5,1100
103,Petrol,71,1400,4,5,1125
104,Petrol,110,1600,4,5,1105
105,Petrol,110,1600,4,5,1155
106,Petrol,97,1400,4,5,1100
107,Petrol,110,1600,4,5,1045
108,Petrol,97,1400,4,5,1100
109,Petrol,110,1600,4,5,1105
111,Diesel,116,2000,4,5,1480
112,Diesel,116,2000,4,5,1480
113,Diesel,116,2000,4,5,1480
114,Diesel,116,2000,4,5,1320
115,Diesel,116,2000,4,5,1320
116,Diesel,116,2000,4,5,1270
117,Diesel,90,2000,4,5,1280
118,Diesel,90,2000,4,5,1270
119,Petrol,110,1600,4,5,1105
120,Diesel,90,2000,4,5,1255
121,Diesel,110,2000,4,5,1275
122,Petrol,110,1600,4,5,1115
123,Diesel,90,2000,4,5,1255
124,Petrol,110,1600,4,5,1115
125,Petrol,110,1600,4,5,1130
126,Petrol,110,1600,4,5,1130
127,Petrol,110,1600,4,5,1130
128,Petrol,110,1600,4,5,1075
129,Petrol,97,1400,4,5,1110
130,Petrol,97,1400,4,5,1135
131,Petrol,110,1600,4,5,1075
132,Petrol,97,1400,4,5,1110
133,Petrol,97,1400,4,5,1110
134,Petrol,97,1400,4,5,1110
135,Petrol,110,1600,4,5,1105
136,Petrol,97,1400,4,5,1110
137,Petrol,97,1400,4,5,1110
138,Petrol,97,1400,4,5,1135
139,Petrol,110,1600,4,5,1105
140,Diesel,116,2000,4,5,1320
141,Petrol,110,1600,4,5,1130
142,Petrol,97,1400,4,5,1110
143,Petrol,192,1800,4,5,1185
