Unique_Id,Model_Name,Selling_Price,Age_Months,Country_Assembly
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,IT
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,FR
3,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,ES
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,JP
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,IT
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,IN
7,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,DE
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,IT
9,TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,ES
10,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,JP
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,FR
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,ES
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,ES
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,DE
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,US
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,JP
17,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,UK
18,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,ES
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,US
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,UK
21,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,JP
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,CN
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,IN
24,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,US
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,KR
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,CN
