Unique_Id,Manufacturer_Guarantee,BOVAG_Guarantee,Guarantee_Duration_Months,ABS_Brake_System,Airbag_1_Presence,Airbag_2_Presence,Air_Conditioning,Automatic_Air_Conditioning,Board_Computer,CD_Player_Presence,Central_Locking,Powered_Windows,Power_Steering,Radio_Presence,Mist_Lamps,Sport_Model_Presence,Backseat_Divider_Presence,Metallic_Rim_Presence,Radio_Cassette,Parking_Assistant,Tow_Bar_Presence
1,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
2,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
3,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
6,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
7,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
8,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
9,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
10,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11,1,1,12,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0
12,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
13,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
14,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
15,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
16,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0
17,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
18,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
19,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
20,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
21,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
22,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
23,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
24,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
25,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
26,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
27,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
28,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
29,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
30,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
31,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
32,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1
33,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
34,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0
35,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
36,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
