Unique_Id,Manufacturing_Month,Manufacturing_Year,Kilometers_Driven
1,10,2002,46986
2,10,2002,72937
3,9,2002,41711
4,7,2002,48000
5,3,2002,38500
6,1,2002,61000
7,6,2002,94612
8,3,2002,75889
9,6,2002,19700
10,10,2002,71138
11,8,2002,31461
12,11,2002,43610
13,8,2002,32189
14,2,2002,23000
15,1,2002,34131
16,5,2002,18739
17,3,2002,34000
18,9,2002,21716
19,9,2002,25563
20,3,2002,64359
21,3,2002,67660
22,4,2002,43905
23,5,2002,56349
24,5,2002,32220
25,4,2002,25813
26,8,2002,28450
27,6,2002,34545
28,4,2002,41415
29,5,2002,44142
30,3,2002,11090
31,4,2002,9750
32,11,2002,35199
33,6,2002,29510
34,7,2002,32692
35,11,2002,41000
36,7,2002,43000
37,8,2002,25000
38,10,2002,10000
39,1,2002,25329
40,6,2002,27500
41,11,2002,49059
42,6,2002,44068
43,11,2002,46961
44,6,2002,110404
45,11,2002,100250
46,10,2002,84000
47,6,2002,79375
48,11,2002,75048
49,11,2002,72215
50,2,2002,64982
51,11,2002,62636
52,3,2002,57086
53,7,2002,56000
54,6,2002,49866
55,8,2002,49163
56,1,2002,45725
57,5,2002,43210
58,7,2002,43000
59,10,2002,39704
60,3,2002,38950
61,11,2002,37400
62,6,2002,37177
63,2,2002,36544
64,3,2002,33511
65,6,2002,32809
66,7,2002,32181
67,5,2002,30993
68,11,2002,30400
69,11,2002,30000
70,8,2002,29719
71,5,2002,29206
72,1,2002,29198
73,5,2002,28817
74,10,2002,28227
75,5,2002,28000
76,10,2002,28000
77,2,2002,25266
78,6,2002,23489
79,4,2002,22575
80,3,2002,22000
81,8,2002,20019
82,4,2002,20000
83,8,2002,17003
84,2,2002,16238
85,8,2002,15414
86,5,2002,8537
87,3,2002,7000
88,1,2003,66966
89,2,2003,51884
90,2,2003,50005
91,1,2003,48110
92,1,2003,37500
93,5,2003,34472
94,1,2003,33329
95,1,2003,31850
96,4,2003,30351
97,2,2003,29435
98,2,2003,25948
99,10,2003,24500
100,3,2003,23902
101,1,2003,23175
102,2,2003,19200
103,8,2003,18000
104,10,2003,16123
105,10,2003,14635
106,2,2003,13748
107,7,2003,11500
108,4,2003,10000
109,1,2003,7187
111,5,2004,1
112,5,2004,4000
113,5,2004,1500
114,1,2004,13253
115,1,2004,13253
116,2,2004,10000
117,1,2004,6000
118,1,2004,10841
119,2,2004,1
120,1,2003,63000
121,4,2003,57313
122,8,2003,57037
123,2,2003,51099
124,7,2003,40010
125,1,2003,39115
126,4,2003,36012
127,5,2003,36000
128,1,2003,36000
129,1,2003,35000
130,4,2003,33740
131,8,2003,33477
132,1,2003,32627
133,1,2003,29797
134,2,2003,29441
135,8,2003,29371
136,1,2003,29000
137,2,2003,27821
138,2,2003,27371
139,8,2003,25170
140,10,2003,25000
141,1,2003,23000
142,1,2003,22588
143,2,2003,21684
144,8,2003,21428
145,5,2003,20629
146,6,2003,20270
147,5,2003,20105
148,1,2003,20000
149,8,2003,19988
150,2,2003,18328
151,7,2003,17896
152,1,2003,17300
153,2,2003,17038
154,11,2003,13747
155,9,2003,13634
156,8,2003,13178
157,6,2003,13157
158,5,2003,13000
159,10,2003,12500
